formation,startXI,substitutes,team.id,team.name,team.logo,team.colors.player.primary,team.colors.player.number,team.colors.player.border,team.colors.goalkeeper.primary,team.colors.goalkeeper.number,team.colors.goalkeeper.border,coach.id,coach.name,coach.photo
4-2-3-1,"[{'player': {'id': 526, 'name': 'A. Onana', 'number': 24, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 545, 'name': 'N. Mazraoui', 'number': 3, 'pos': 'D', 'grid': '2:4'}}, {'player': {'id': 2935, 'name': 'H. Maguire', 'number': 5, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 2467, 'name': 'Lisandro Martínez', 'number': 6, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 886, 'name': 'Diogo Dalot', 'number': 20, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 747, 'name': 'Casemiro', 'number': 18, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 284322, 'name': 'K. Mainoo', 'number': 37, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 157997, 'name': 'A. Diallo', 'number': 16, 'pos': 'M', 'grid': '4:3'}}, {'player': {'id': 19220, 'name': 'M. Mount', 'number': 7, 'pos': 'M', 'grid': '4:2'}}, {'player': {'id': 909, 'name': 'M. Rashford', 'number': 10, 'pos': 'M', 'grid': '4:1'}}, {'player': {'id': 1485, 'name': 'Bruno Fernandes', 'number': 8, 'pos': 'F', 'grid': '5:1'}}]","[{'player': {'id': 284324, 'name': 'A. Garnacho', 'number': 17, 'pos': 'F', 'grid': None}}, {'player': {'id': 70100, 'name': 'J. Zirkzee', 'number': 11, 'pos': 'F', 'grid': None}}, {'player': {'id': 532, 'name': 'M. de Ligt', 'number': 4, 'pos': 'D', 'grid': None}}, {'player': {'id': 18772, 'name': 'J. Evans', 'number': 35, 'pos': 'D', 'grid': None}}, {'player': {'id': 903, 'name': 'S. McTominay', 'number': 39, 'pos': 'M', 'grid': None}}, {'player': {'id': 174, 'name': 'C. Eriksen', 'number': 14, 'pos': 'M', 'grid': None}}, {'player': {'id': 284400, 'name': 'T. Collyer', 'number': 43, 'pos': 'M', 'grid': None}}, {'player': {'id': 9971, 'name': 'Antony', 'number': 21, 'pos': 'F', 'grid': None}}, {'player': {'id': 50132, 'name': 'A. Bayındır', 'number': 1, 'pos': 'G', 'grid': None}}]",33,Manchester United,https://media.api-sports.io/football/teams/33.png,ea0000,ffffff,ea0000,000000,ffffff,000000,1993.0,E. ten Hag,https://media.api-sports.io/football/coachs/1993.png
4-2-3-1,"[{'player': {'id': 1438, 'name': 'B. Leno', 'number': 1, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 657, 'name': 'K. Tete', 'number': 2, 'pos': 'D', 'grid': '2:4'}}, {'player': {'id': 18814, 'name': 'I. Diop', 'number': 31, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 152967, 'name': 'C. Bassey', 'number': 3, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 19549, 'name': 'A. Robinson', 'number': 33, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 899, 'name': 'Andreas Pereira', 'number': 18, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 2823, 'name': 'S. Lukić', 'number': 20, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 18753, 'name': 'Adama Traoré', 'number': 11, 'pos': 'M', 'grid': '4:3'}}, {'player': {'id': 1161, 'name': 'E. Smith Rowe', 'number': 32, 'pos': 'M', 'grid': '4:2'}}, {'player': {'id': 1455, 'name': 'A. Iwobi', 'number': 17, 'pos': 'M', 'grid': '4:1'}}, {'player': {'id': 195106, 'name': 'Rodrigo Muniz', 'number': 9, 'pos': 'F', 'grid': '5:1'}}]","[{'player': {'id': 19025, 'name': 'T. Cairney', 'number': 10, 'pos': 'M', 'grid': None}}, {'player': {'id': 2887, 'name': 'R. Jiménez', 'number': 7, 'pos': 'F', 'grid': None}}, {'player': {'id': 19221, 'name': 'H. Wilson', 'number': 8, 'pos': 'M', 'grid': None}}, {'player': {'id': 191971, 'name': 'J. Stansfield', 'number': 28, 'pos': 'F', 'grid': None}}, {'player': {'id': 19480, 'name': 'H. Reed', 'number': 6, 'pos': 'M', 'grid': None}}, {'player': {'id': 19312, 'name': 'S. Benda', 'number': 23, 'pos': 'G', 'grid': None}}, {'player': {'id': 131, 'name': 'Jorge Cuenca', 'number': 15, 'pos': 'D', 'grid': None}}, {'player': {'id': 2920, 'name': 'T. Castagne', 'number': 21, 'pos': 'D', 'grid': None}}, {'player': {'id': 389315, 'name': 'J. King', 'number': 24, 'pos': 'M', 'grid': None}}]",36,Fulham,https://media.api-sports.io/football/teams/36.png,ffffff,000000,ffffff,d01e2a,ffffff,d01e2a,10.0,Marco Silva,https://media.api-sports.io/football/coachs/10.png
4-2-3-1,"[{'player': {'id': 19541, 'name': 'C. Walton', 'number': 28, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 19182, 'name': 'A. Tuanzebe', 'number': 40, 'pos': 'D', 'grid': '2:4'}}, {'player': {'id': 17714, 'name': 'L. Woolfenden', 'number': 6, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 127579, 'name': 'J. Greaves', 'number': 24, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 19119, 'name': 'L. Davis', 'number': 3, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 19558, 'name': 'Sam Morsy', 'number': 5, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 2752, 'name': 'M. Luongo', 'number': 25, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 20089, 'name': 'W. Burns', 'number': 7, 'pos': 'M', 'grid': '4:3'}}, {'player': {'id': 20007, 'name': 'C. Chaplin', 'number': 10, 'pos': 'M', 'grid': '4:2'}}, {'player': {'id': 284428, 'name': 'O. Hutchinson', 'number': 20, 'pos': 'M', 'grid': '4:1'}}, {'player': {'id': 161948, 'name': 'L. Delap', 'number': 19, 'pos': 'F', 'grid': '5:1'}}]","[{'player': {'id': 18823, 'name': 'B. Johnson', 'number': 18, 'pos': 'D', 'grid': None}}, {'player': {'id': 18397, 'name': 'J. Taylor', 'number': 14, 'pos': 'M', 'grid': None}}, {'player': {'id': 20031, 'name': 'M. Harness', 'number': 11, 'pos': 'M', 'grid': None}}, {'player': {'id': 17579, 'name': 'S. Szmodics', 'number': 23, 'pos': 'M', 'grid': None}}, {'player': {'id': 299813, 'name': 'Ali Al Hamadi', 'number': 16, 'pos': 'F', 'grid': None}}, {'player': {'id': 19152, 'name': 'C. Townsend', 'number': 22, 'pos': 'D', 'grid': None}}, {'player': {'id': 19130, 'name': 'K. Phillips', 'number': 8, 'pos': 'M', 'grid': None}}, {'player': {'id': 158702, 'name': 'C. Slicker', 'number': 13, 'pos': 'G', 'grid': None}}, {'player': {'id': 20457, 'name': 'C. Burgess', 'number': 15, 'pos': 'D', 'grid': None}}]",57,Ipswich,https://media.api-sports.io/football/teams/57.png,0055aa,ffffff,0055aa,0f0f0e,000000,0f0f0e,16556.0,K. McKenna,https://media.api-sports.io/football/coachs/16556.png
4-2-3-1,"[{'player': {'id': 280, 'name': 'Alisson Becker', 'number': 1, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 283, 'name': 'T. Alexander-Arnold', 'number': 66, 'pos': 'D', 'grid': '2:4'}}, {'player': {'id': 158698, 'name': 'J. Quansah', 'number': 78, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 290, 'name': 'V. van Dijk', 'number': 4, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 289, 'name': 'A. Robertson', 'number': 26, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 542, 'name': 'R. Gravenberch', 'number': 38, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 6716, 'name': 'A. Mac Allister', 'number': 10, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 306, 'name': 'Mohamed Salah', 'number': 11, 'pos': 'M', 'grid': '4:3'}}, {'player': {'id': 1096, 'name': 'D. Szoboszlai', 'number': 8, 'pos': 'M', 'grid': '4:2'}}, {'player': {'id': 2489, 'name': 'L. Díaz', 'number': 7, 'pos': 'M', 'grid': '4:1'}}, {'player': {'id': 2678, 'name': 'Diogo Jota', 'number': 20, 'pos': 'F', 'grid': '5:1'}}]","[{'player': {'id': 1145, 'name': 'I. Konaté', 'number': 5, 'pos': 'D', 'grid': None}}, {'player': {'id': 180317, 'name': 'C. Bradley', 'number': 84, 'pos': 'D', 'grid': None}}, {'player': {'id': 1600, 'name': 'K. Tsimikas', 'number': 21, 'pos': 'D', 'grid': None}}, {'player': {'id': 247, 'name': 'C. Gakpo', 'number': 18, 'pos': 'F', 'grid': None}}, {'player': {'id': 281, 'name': 'C. Kelleher', 'number': 62, 'pos': 'G', 'grid': None}}, {'player': {'id': 51617, 'name': 'D. Núñez', 'number': 9, 'pos': 'F', 'grid': None}}, {'player': {'id': 293, 'name': 'C. Jones', 'number': 17, 'pos': 'M', 'grid': None}}, {'player': {'id': 8500, 'name': 'W. Endō', 'number': 3, 'pos': 'M', 'grid': None}}, {'player': {'id': 19035, 'name': 'H. Elliott', 'number': 19, 'pos': 'M', 'grid': None}}]",40,Liverpool,https://media.api-sports.io/football/teams/40.png,e41e2c,ffffff,e41e2c,23262b,f3f5f0,23262b,2006.0,A. Slot,https://media.api-sports.io/football/coachs/2006.png
4-3-3,"[{'player': {'id': 19465, 'name': 'David Raya', 'number': 22, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 19959, 'name': 'B. White', 'number': 4, 'pos': 'D', 'grid': '2:4'}}, {'player': {'id': 22090, 'name': 'W. Saliba', 'number': 2, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 22224, 'name': 'Gabriel Magalhães', 'number': 6, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 641, 'name': 'O. Zinchenko', 'number': 17, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 37127, 'name': 'M. Ødegaard', 'number': 8, 'pos': 'M', 'grid': '3:3'}}, {'player': {'id': 49, 'name': 'T. Partey', 'number': 5, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 2937, 'name': 'D. Rice', 'number': 41, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 1460, 'name': 'B. Saka', 'number': 7, 'pos': 'F', 'grid': '4:3'}}, {'player': {'id': 978, 'name': 'K. Havertz', 'number': 29, 'pos': 'F', 'grid': '4:2'}}, {'player': {'id': 127769, 'name': 'Gabriel Martinelli', 'number': 11, 'pos': 'F', 'grid': '4:1'}}]","[{'player': {'id': 38746, 'name': 'J. Timber', 'number': 12, 'pos': 'D', 'grid': None}}, {'player': {'id': 1946, 'name': 'L. Trossard', 'number': 19, 'pos': 'F', 'grid': None}}, {'player': {'id': 643, 'name': 'Gabriel Jesus', 'number': 9, 'pos': 'F', 'grid': None}}, {'player': {'id': 313236, 'name': 'E. Nwaneri', 'number': 53, 'pos': 'M', 'grid': None}}, {'player': {'id': 1468, 'name': 'E. Nketiah', 'number': 14, 'pos': 'F', 'grid': None}}, {'player': {'id': 157052, 'name': 'R. Calafiori', 'number': 33, 'pos': 'D', 'grid': None}}, {'player': {'id': 20355, 'name': 'A. Ramsdale', 'number': 1, 'pos': 'G', 'grid': None}}, {'player': {'id': 2289, 'name': 'Jorginho', 'number': 20, 'pos': 'M', 'grid': None}}, {'player': {'id': 727, 'name': 'R. Nelson', 'number': 24, 'pos': 'F', 'grid': None}}]",42,Arsenal,https://media.api-sports.io/football/teams/42.png,e10000,ffffff,e10000,00d5ff,ffffff,00d5ff,7248.0,Mikel Arteta,https://media.api-sports.io/football/coachs/7248.png
4-2-3-1,"[{'player': {'id': 1590, 'name': 'José Sá', 'number': 1, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 18742, 'name': 'M. Doherty', 'number': 2, 'pos': 'D', 'grid': '2:4'}}, {'player': {'id': 195717, 'name': 'Y. Mosquera', 'number': 14, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 41606, 'name': 'Toti Gomes', 'number': 24, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 21138, 'name': 'R. Aït-Nouri', 'number': 3, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 195103, 'name': 'João Gomes', 'number': 8, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 18947, 'name': 'M. Lemina', 'number': 5, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 24888, 'name': 'Hwang Hee-Chan', 'number': 11, 'pos': 'M', 'grid': '4:3'}}, {'player': {'id': 20665, 'name': 'J. Bellegarde', 'number': 27, 'pos': 'M', 'grid': '4:2'}}, {'player': {'id': 282770, 'name': 'Rodrigo Gomes', 'number': 19, 'pos': 'M', 'grid': '4:1'}}, {'player': {'id': 2032, 'name': 'J. Strand Larsen', 'number': 9, 'pos': 'F', 'grid': '5:1'}}]","[{'player': {'id': 1165, 'name': 'Matheus Cunha', 'number': 12, 'pos': 'F', 'grid': None}}, {'player': {'id': 1605, 'name': 'Daniel Podence', 'number': 10, 'pos': 'M', 'grid': None}}, {'player': {'id': 19147, 'name': 'C. Dawson', 'number': 15, 'pos': 'D', 'grid': None}}, {'player': {'id': 195962, 'name': 'Chiquinho', 'number': 23, 'pos': 'F', 'grid': None}}, {'player': {'id': 2056, 'name': 'Pablo Sarabia', 'number': 21, 'pos': 'M', 'grid': None}}, {'player': {'id': 135334, 'name': 'S. Bueno', 'number': 4, 'pos': 'D', 'grid': None}}, {'player': {'id': 925, 'name': 'Gonçalo Guedes', 'number': 29, 'pos': 'F', 'grid': None}}, {'player': {'id': 144732, 'name': 'T. Doyle', 'number': 20, 'pos': 'M', 'grid': None}}, {'player': {'id': 19341, 'name': 'D. Bentley', 'number': 25, 'pos': 'G', 'grid': None}}]",39,Wolves,https://media.api-sports.io/football/teams/39.png,fecd32,000000,fecd32,fe2e8c,ffffff,fe2e8c,18151.0,G. O'Neil,https://media.api-sports.io/football/coachs/18151.png
4-2-3-1,"[{'player': {'id': 2932, 'name': 'J. Pickford', 'number': 1, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 894, 'name': 'A. Young', 'number': 18, 'pos': 'D', 'grid': '2:4'}}, {'player': {'id': 2936, 'name': 'J. Tarkowski', 'number': 6, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 2934, 'name': 'M. Keane', 'number': 5, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 2165, 'name': 'V. Mykolenko', 'number': 19, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 284500, 'name': 'T. Iroegbunam', 'number': 42, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 2990, 'name': 'I. Gueye', 'number': 27, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 19128, 'name': 'J. Harrison', 'number': 11, 'pos': 'M', 'grid': '4:3'}}, {'player': {'id': 18805, 'name': 'A. Doucouré', 'number': 16, 'pos': 'M', 'grid': '4:2'}}, {'player': {'id': 18929, 'name': 'D. McNeil', 'number': 7, 'pos': 'M', 'grid': '4:1'}}, {'player': {'id': 18766, 'name': 'D. Calvert-Lewin', 'number': 9, 'pos': 'F', 'grid': '5:1'}}]","[{'player': {'id': 18592, 'name': 'I. Ndiaye', 'number': 10, 'pos': 'F', 'grid': None}}, {'player': {'id': 125743, 'name': 'Beto', 'number': 14, 'pos': 'F', 'grid': None}}, {'player': {'id': 19150, 'name': 'M. Holgate', 'number': 4, 'pos': 'D', 'grid': None}}, {'player': {'id': 405360, 'name': 'H. Armstrong', 'number': 45, 'pos': 'M', 'grid': None}}, {'player': {'id': 270139, 'name': ""J. O'Brien"", 'number': 15, 'pos': 'D', 'grid': None}}, {'player': {'id': 15884, 'name': 'J. Lindstrøm', 'number': 29, 'pos': 'M', 'grid': None}}, {'player': {'id': 297641, 'name': 'J. Metcalfe', 'number': 44, 'pos': 'M', 'grid': None}}, {'player': {'id': 18755, 'name': 'João Virgínia', 'number': 12, 'pos': 'G', 'grid': None}}, {'player': {'id': 19364, 'name': 'N. Maupay', 'number': 21, 'pos': 'F', 'grid': None}}]",45,Everton,https://media.api-sports.io/football/teams/45.png,0237ab,ffffff,0237ab,030303,ffffff,030303,7.0,S. Dyche,https://media.api-sports.io/football/coachs/7.png
4-2-3-1,"[{'player': {'id': 18960, 'name': 'J. Steele', 'number': 23, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 537, 'name': 'J. Veltman', 'number': 34, 'pos': 'D', 'grid': '2:4'}}, {'player': {'id': 38695, 'name': 'J. van Hecke', 'number': 29, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 18963, 'name': 'L. Dunk', 'number': 5, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 305730, 'name': 'J. Hinshelwood', 'number': 41, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 296, 'name': 'J. Milner', 'number': 6, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 92993, 'name': 'M. Wieffer', 'number': 27, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 383685, 'name': 'Y. Minteh', 'number': 17, 'pos': 'M', 'grid': '4:3'}}, {'player': {'id': 10329, 'name': 'João Pedro', 'number': 9, 'pos': 'M', 'grid': '4:2'}}, {'player': {'id': 106835, 'name': 'K. Mitoma', 'number': 22, 'pos': 'M', 'grid': '4:1'}}, {'player': {'id': 1469, 'name': 'D. Welbeck', 'number': 18, 'pos': 'F', 'grid': '5:1'}}]","[{'player': {'id': 301771, 'name': 'S. Adingra', 'number': 24, 'pos': 'F', 'grid': None}}, {'player': {'id': 19265, 'name': 'A. Webster', 'number': 4, 'pos': 'D', 'grid': None}}, {'player': {'id': 202086, 'name': 'J. Sarmiento', 'number': 16, 'pos': 'M', 'grid': None}}, {'player': {'id': 130423, 'name': 'B. Gilmour', 'number': 11, 'pos': 'M', 'grid': None}}, {'player': {'id': 265820, 'name': 'Y. Ayari', 'number': 26, 'pos': 'M', 'grid': None}}, {'player': {'id': 356041, 'name': 'C. Baleba', 'number': 20, 'pos': 'M', 'grid': None}}, {'player': {'id': 340135, 'name': 'M. O’Mahony', 'number': 51, 'pos': 'F', 'grid': None}}, {'player': {'id': 319572, 'name': 'V. Barco', 'number': 19, 'pos': 'D', 'grid': None}}, {'player': {'id': 278088, 'name': 'C. Rushworth', 'number': 39, 'pos': 'G', 'grid': None}}]",51,Brighton,https://media.api-sports.io/football/teams/51.png,fadb3c,0a0202,fadb3c,050505,ffffff,050505,19253.0,F. Hürzeler,https://media.api-sports.io/football/coachs/19253.png
4-3-3,"[{'player': {'id': 18911, 'name': 'N. Pope', 'number': 22, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 158694, 'name': 'T. Livramento', 'number': 21, 'pos': 'D', 'grid': '2:4'}}, {'player': {'id': 2806, 'name': 'F. Schär', 'number': 5, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 18961, 'name': 'D. Burn', 'number': 33, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 284492, 'name': 'L. Hall', 'number': 20, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 18901, 'name': 'S. Longstaff', 'number': 36, 'pos': 'M', 'grid': '3:3'}}, {'player': {'id': 10135, 'name': 'Bruno Guimarães', 'number': 39, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 723, 'name': 'Joelinton', 'number': 7, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 19163, 'name': 'J. Murphy', 'number': 23, 'pos': 'F', 'grid': '4:3'}}, {'player': {'id': 2864, 'name': 'A. Isak', 'number': 14, 'pos': 'F', 'grid': '4:2'}}, {'player': {'id': 138787, 'name': 'A. Gordon', 'number': 10, 'pos': 'F', 'grid': '4:1'}}]","[{'player': {'id': 2855, 'name': 'E. Krafth', 'number': 17, 'pos': 'D', 'grid': None}}, {'player': {'id': 18778, 'name': 'H. Barnes', 'number': 11, 'pos': 'M', 'grid': None}}, {'player': {'id': 19263, 'name': 'L. Kelly', 'number': 25, 'pos': 'D', 'grid': None}}, {'player': {'id': 2507, 'name': 'M. Almirón', 'number': 24, 'pos': 'M', 'grid': None}}, {'player': {'id': 315237, 'name': 'W. Osula', 'number': 18, 'pos': 'F', 'grid': None}}, {'player': {'id': 169, 'name': 'K. Trippier', 'number': 2, 'pos': 'D', 'grid': None}}, {'player': {'id': 1463, 'name': 'J. Willock', 'number': 28, 'pos': 'M', 'grid': None}}, {'player': {'id': 18941, 'name': 'M. Targett', 'number': 13, 'pos': 'D', 'grid': None}}, {'player': {'id': 18886, 'name': 'M. Dúbravka', 'number': 1, 'pos': 'G', 'grid': None}}]",34,Newcastle,https://media.api-sports.io/football/teams/34.png,ffffff,f03929,ffffff,4ed4e8,000000,4ed4e8,5.0,E. Howe,https://media.api-sports.io/football/coachs/5.png
3-5-2,"[{'player': {'id': 18935, 'name': 'A. McCarthy', 'number': 1, 'pos': 'G', 'grid': '1:1'}}, {'player': {'id': 144729, 'name': 'T. Harwood-Bellis', 'number': 6, 'pos': 'D', 'grid': '2:3'}}, {'player': {'id': 2999, 'name': 'J. Bednarek', 'number': 35, 'pos': 'D', 'grid': '2:2'}}, {'player': {'id': 18940, 'name': 'J. Stephens', 'number': 5, 'pos': 'D', 'grid': '2:1'}}, {'player': {'id': 32887, 'name': 'Y. Sugawara', 'number': 16, 'pos': 'M', 'grid': '3:5'}}, {'player': {'id': 130421, 'name': 'W. Smallbone', 'number': 8, 'pos': 'M', 'grid': '3:4'}}, {'player': {'id': 19733, 'name': 'F. Downes', 'number': 4, 'pos': 'M', 'grid': '3:3'}}, {'player': {'id': 19825, 'name': 'J. Aribo', 'number': 7, 'pos': 'M', 'grid': '3:2'}}, {'player': {'id': 171, 'name': 'K. Walker-Peters', 'number': 2, 'pos': 'M', 'grid': '3:1'}}, {'player': {'id': 19484, 'name': 'A. Armstrong', 'number': 9, 'pos': 'F', 'grid': '4:2'}}, {'player': {'id': 19485, 'name': 'B. Brereton', 'number': 17, 'pos': 'F', 'grid': '4:1'}}]","[{'player': {'id': 278085, 'name': 'S. Edozie', 'number': 23, 'pos': 'M', 'grid': None}}, {'player': {'id': 304317, 'name': 'T. Dibling', 'number': 33, 'pos': 'M', 'grid': None}}, {'player': {'id': 137302, 'name': 'C. Archer', 'number': 19, 'pos': 'F', 'grid': None}}, {'player': {'id': 334035, 'name': 'S. Amo-Ameyaw', 'number': 27, 'pos': 'F', 'grid': None}}, {'player': {'id': 195993, 'name': 'C. Alcaraz', 'number': 22, 'pos': 'M', 'grid': None}}, {'player': {'id': 19573, 'name': 'J. Lumley', 'number': 13, 'pos': 'G', 'grid': None}}, {'player': {'id': 19248, 'name': 'N. Wood-Gordon', 'number': 15, 'pos': 'D', 'grid': None}}, {'player': {'id': 19719, 'name': 'J. Bree', 'number': 14, 'pos': 'D', 'grid': None}}, {'player': {'id': 18918, 'name': 'C. Taylor', 'number': 21, 'pos': 'D', 'grid': None}}]",41,Southampton,https://media.api-sports.io/football/teams/41.png,bed839,fcf3f3,bed839,3cabb0,ffffff,3cabb0,6025.0,R. Martin,https://media.api-sports.io/football/coachs/6025.png
